DMR,Gene,Assignment_Type,Distance_to_TSS
chr3_DMR_530,PTPRG,CpG,0.0
chr3_DMR_531,AMOTL2,CpG,0.0
chr3_DMR_532,GOLIM4,CpG,0.0
chr3_DMR_533,SELT,CpG,0.0
chr3_DMR_535,DNAH1,CpG,0.0
chr3_DMR_537,ARPP-21,CpG,0.0
chr3_DMR_537,MIR128-2,CpG,0.0
chr3_DMR_538,ETV5,CpG,0.0
chr3_DMR_539,USP19,CpG,0.0
chr3_DMR_539,LAMB2,CpG,0.0
chr3_DMR_540,C3orf1,CpG,0.0
chr3_DMR_541,SEC13,CpG,0.0
chr3_DMR_542,IQSEC1,CpG,0.0
chr3_DMR_543,DUSP7,CpG,0.0
chr3_DMR_544,NAA50,CpG,0.0
chr3_DMR_544,ATP6V1A,CpG,0.0
chr3_DMR_545,FGF12,CpG,0.0
chr3_DMR_546,CHST2,CpG,0.0
chr3_DMR_549,PIGZ,CpG,0.0
chr3_DMR_550,FOXP1,CpG,0.0
chr3_DMR_551,PFKFB4,CpG,0.0
chr3_DMR_552,HLTF,CpG,0.0
chr3_DMR_553,ZIC4,CpG,0.0
chr3_DMR_554,C3orf30,CpG,0.0
chr3_DMR_554,IGSF11,CpG,0.0
chr3_DMR_555,PRKCD,CpG,0.0
chr3_DMR_556,PTPLB,CpG,0.0
chr3_DMR_557,PLS1,CpG,0.0
chr3_DMR_558,ARHGEF3,CpG,0.0
chr3_DMR_559,MANF,CpG,0.0
chr3_DMR_560,ZXDC,CpG,0.0
chr3_DMR_562,TRAK1,CpG,0.0
chr3_DMR_563,TXNDC6,CpG,0.0
chr3_DMR_564,SENP7,CpG,0.0
chr3_DMR_565,TMEM40,CpG,0.0
chr3_DMR_566,C3orf26,CpG,0.0
chr3_DMR_566,MIR548G,CpG,0.0
chr3_DMR_566,FILIP1L,CpG,0.0
chr3_DMR_567,LOC285375,CpG,0.0
chr3_DMR_568,LYZL4,CpG,0.0
chr3_DMR_569,ARL13B,CpG,0.0
chr3_DMR_570,CACNA2D2,CpG,0.0
chr3_DMR_571,ARHGEF3,CpG,0.0
chr3_DMR_573,EAF2,CpG,0.0
chr3_DMR_573,IQCB1,CpG,0.0
chr3_DMR_574,C3orf17,CpG,0.0
chr3_DMR_575,ABHD6,CpG,0.0
chr3_DMR_576,LRRIQ4,CpG,0.0
chr3_DMR_577,EPHA6,CpG,0.0
chr3_DMR_578,UBXN7,CpG,0.0
chr3_DMR_579,CRTAP,CpG,0.0
chr3_DMR_580,OPA1,CpG,0.0
chr3_DMR_581,ACTL6A,CpG,0.0
chr3_DMR_582,SLC33A1,CpG,0.0
chr3_DMR_583,DTX3L,CpG,0.0
chr3_DMR_583,PARP9,CpG,0.0
chr3_DMR_584,TATDN2,CpG,0.0
chr3_DMR_585,SHOX2,CpG,0.0
chr3_DMR_586,BHLHE40,CpG,0.0
chr3_DMR_587,LOC152217,CpG,0.0
chr3_DMR_587,NCBP2,CpG,0.0
chr3_DMR_588,GATA2,CpG,0.0
chr3_DMR_589,PHC3,CpG,0.0
chr3_DMR_590,PTH1R,CpG,0.0
chr3_DMR_592,TTC14,CpG,0.0
chr3_DMR_593,NT5DC2,CpG,0.0
chr3_DMR_593,LOC440957,CpG,0.0
chr3_DMR_594,PTH1R,CpG,0.0
chr3_DMR_595,TLR9,CpG,0.0
chr3_DMR_596,LOC285205,CpG,0.0
chr3_DMR_597,SATB1,CpG,0.0
chr3_DMR_598,SLC6A6,CpG,0.0
chr3_DMR_599,RBP1,CpG,0.0
chr3_DMR_600,TKT,CpG,0.0
chr3_DMR_601,GSK3B,CpG,0.0
chr3_DMR_602,CASR,CpG,0.0
chr3_DMR_603,GRIP2,CpG,0.0
chr3_DMR_604,PDIA5,CpG,0.0
chr3_DMR_605,ABCC5,CpG,0.0
chr3_DMR_606,PTX3,CpG,0.0
chr3_DMR_606,VEPH1,CpG,0.0
chr3_DMR_607,SHQ1,CpG,0.0
chr3_DMR_608,MIR885,CpG,0.0
chr3_DMR_608,ATP2B2,CpG,0.0
chr3_DMR_609,EDEM1,CpG,0.0
chr3_DMR_610,TRAIP,CpG,0.0
chr3_DMR_611,LRRC33,CpG,0.0
chr3_DMR_612,PCYT1A,CpG,0.0
chr3_DMR_614,DCBLD2,CpG,0.0
chr3_DMR_615,TMIE,CpG,0.0
chr3_DMR_616,RFC4,CpG,0.0
chr3_DMR_617,SCAP,CpG,0.0
chr3_DMR_618,HRASLS,CpG,0.0
chr3_DMR_618,MGC2889,CpG,0.0
chr3_DMR_619,GRK7,CpG,0.0
chr3_DMR_620,ZNF620,CpG,0.0
chr3_DMR_622,APEH,CpG,0.0
chr3_DMR_623,LSAMP,CpG,0.0
chr3_DMR_624,ISY1,CpG,0.0
chr3_DMR_625,CNTN4,CpG,0.0
chr3_DMR_626,KIAA0226,CpG,0.0
chr3_DMR_626,MIR922,CpG,0.0
chr3_DMR_627,BPESC1,CpG,0.0
chr3_DMR_628,ARHGEF3,CpG,0.0
chr3_DMR_628,SPATA12,CpG,0.0
chr3_DMR_629,GPD1L,CpG,0.0
chr3_DMR_630,AGTR1,CpG,0.0
chr3_DMR_631,ZIC4,CpG,0.0
chr3_DMR_632,NIT2,CpG,0.0
chr3_DMR_633,GOLGA4,CpG,0.0
chr3_DMR_634,RFT1,CpG,0.0
chr3_DMR_636,C3orf75,CpG,0.0
chr3_DMR_637,BSN,CpG,0.0
chr3_DMR_638,SLMAP,CpG,0.0
chr3_DMR_639,GLYCTK,CpG,0.0
chr3_DMR_640,MKRN2,CpG,0.0
chr3_DMR_641,VIPR1,CpG,0.0
chr3_DMR_642,TBCCD1,CpG,0.0
chr3_DMR_643,CAND2,CpG,0.0
chr3_DMR_644,FGF12,CpG,0.0
chr3_DMR_645,NR2C2,CpG,0.0
chr3_DMR_646,SFMBT1,CpG,0.0
chr3_DMR_647,P2RY1,CpG,0.0
chr3_DMR_648,SH3BP5,CpG,0.0
chr3_DMR_650,NME6,CpG,0.0
chr3_DMR_651,FOXP1,CpG,0.0
chr3_DMR_652,CAND2,CpG,0.0
chr3_DMR_653,ATXN7,CpG,0.0
chr3_DMR_653,THOC7,CpG,0.0
chr3_DMR_656,LOC401097,CpG,0.0
chr3_DMR_657,SELK,CpG,0.0
chr3_DMR_658,SLC7A14,CpG,0.0
chr3_DMR_659,EPHB3,CpG,0.0
chr3_DMR_660,MIR548G,CpG,0.0
chr3_DMR_660,COL8A1,CpG,0.0
chr3_DMR_661,TM4SF18,CpG,0.0
chr3_DMR_662,FOXP1,CpG,0.0
chr3_DMR_663,HEMK1,CpG,0.0
chr3_DMR_664,SEC22C,CpG,0.0
chr3_DMR_665,SST,CpG,0.0
chr3_DMR_666,GNAT1,CpG,0.0
chr3_DMR_667,CD80,CpG,0.0
chr3_DMR_668,CCR9,CpG,0.0
chr3_DMR_669,CADPS,CpG,0.0
chr3_DMR_670,WDR53,CpG,0.0
chr3_DMR_670,FBXO45,CpG,0.0
chr3_DMR_671,DHX30,CpG,0.0
chr3_DMR_672,RSRC1,CpG,0.0
chr3_DMR_673,ZNF148,CpG,0.0
chr3_DMR_675,LRIG1,CpG,0.0
chr3_DMR_676,WDR6,CpG,0.0
chr3_DMR_676,P4HTM,CpG,0.0
chr3_DMR_677,DVWA,CpG,0.0
chr3_DMR_677,CAPN7,CpG,0.0
chr3_DMR_678,LEKR1,CpG,0.0
chr3_DMR_679,C3orf72,CpG,0.0
chr3_DMR_680,SR140,CpG,0.0
chr3_DMR_681,CCDC52,CpG,0.0
chr3_DMR_682,NGLY1,CpG,0.0
chr3_DMR_683,RETNLB,CpG,0.0
chr3_DMR_684,PSMD6,CpG,0.0
chr3_DMR_685,SRPRB,CpG,0.0
chr3_DMR_686,CCDC48,CpG,0.0
chr3_DMR_687,ZIC1,CpG,0.0
chr3_DMR_688,TBL1XR1,CpG,0.0
chr3_DMR_689,PIK3CB,CpG,0.0
chr3_DMR_690,PLCD1,CpG,0.0
chr3_DMR_691,UBE2E1,CpG,0.0
chr3_DMR_693,PIK3CA,CpG,0.0
chr3_DMR_694,CDGAP,CpG,0.0
chr3_DMR_696,ABHD14A,CpG,0.0
chr3_DMR_697,GATA2,CpG,0.0
chr3_DMR_698,MME,CpG,0.0
chr3_DMR_699,P4HTM,CpG,0.0
chr3_DMR_701,DHX36,CpG,0.0
chr3_DMR_703,ARF4,CpG,0.0
chr3_DMR_704,XIRP1,CpG,0.0
chr3_DMR_705,IL17RE,CpG,0.0
chr3_DMR_706,TSEN2,CpG,0.0
chr3_DMR_707,MFI2,CpG,0.0
chr3_DMR_708,WNT5A,CpG,0.0
chr3_DMR_709,EIF2B5,CpG,0.0
chr3_DMR_710,PLXNA1,CpG,0.0
chr3_DMR_711,TXNRD3IT1,CpG,0.0
chr3_DMR_712,SHOX2,CpG,0.0
chr3_DMR_713,ADAMTS9,CpG,0.0
chr3_DMR_714,PRRT3,CpG,0.0
chr3_DMR_715,EIF4E3,CpG,0.0
chr3_DMR_715,GPR27,CpG,0.0
chr3_DMR_716,RTP1,CpG,0.0
chr3_DMR_717,BOC,CpG,0.0
chr3_DMR_718,FBLN2,CpG,0.0
chr3_DMR_719,BBX,CpG,0.0
chr3_DMR_720,PDHB,CpG,0.0
chr3_DMR_721,COL7A1,CpG,0.0
chr3_DMR_721,MIR711,CpG,0.0
chr3_DMR_722,CDC25A,CpG,0.0
chr3_DMR_723,SCN5A,CpG,0.0
chr3_DMR_724,CISH,CpG,0.0
chr3_DMR_725,WDR5B,CpG,0.0
chr3_DMR_727,SIAH2,CpG,0.0
chr3_DMR_728,USP13,CpG,0.0
chr3_DMR_730,TMEM110,CpG,0.0
chr3_DMR_732,KAT2B,CpG,0.0
chr3_DMR_733,MUC4,CpG,0.0
chr3_DMR_734,EPHB1,CpG,0.0
chr3_DMR_735,ATP2C1,CpG,0.0
chr3_DMR_736,ANKRD28,CpG,0.0
chr3_DMR_737,MYL3,CpG,0.0
chr3_DMR_738,C3orf55,CpG,0.0
chr3_DMR_739,SMARCC1,CpG,0.0
chr3_DMR_740,RPL29,CpG,0.0
chr3_DMR_741,CHMP2B,CpG,0.0
chr3_DMR_742,ACY1,CpG,0.0
chr3_DMR_743,PFN2,CpG,0.0
chr3_DMR_744,TRH,CpG,0.0
chr3_DMR_745,PDCD10,CpG,0.0
chr3_DMR_745,SERPINI1,CpG,0.0
chr3_DMR_746,C3orf37,CpG,0.0
chr3_DMR_748,SGEF,CpG,0.0
chr3_DMR_749,RABL3,CpG,0.0
chr3_DMR_749,GTF2E1,CpG,0.0
chr3_DMR_750,NPHP3,CpG,0.0
chr3_DMR_750,NCRNA00119,CpG,0.0
chr3_DMR_751,XYLB,CpG,0.0
chr3_DMR_752,HHATL,CpG,0.0
chr3_DMR_753,RAP2B,CpG,0.0
chr3_DMR_754,ZNF639,CpG,0.0
chr3_DMR_755,MECOM,CpG,0.0
chr3_DMR_757,RAF1,CpG,0.0
chr3_DMR_758,PLCXD2,CpG,0.0
chr3_DMR_760,CNBP,CpG,0.0
chr3_DMR_761,BTD,CpG,0.0
chr3_DMR_761,HACL1,CpG,0.0
chr3_DMR_762,SSR3,CpG,0.0
chr3_DMR_763,SEMA3B,CpG,0.0
chr3_DMR_764,NCKIPSD,CpG,0.0
chr3_DMR_765,PCNP,CpG,0.0
chr3_DMR_766,ARL8B,CpG,0.0
chr3_DMR_767,ST6GAL1,CpG,0.0
chr3_DMR_768,ITPR1,CpG,0.0
chr3_DMR_769,CEP70,CpG,0.0
chr3_DMR_770,ZNF167,CpG,0.0
chr3_DMR_771,ABI3BP,CpG,0.0
chr3_DMR_772,GRM2,CpG,0.0
chr3_DMR_773,SOX2OT,CpG,0.0
chr3_DMR_773,SOX2,CpG,0.0
chr3_DMR_774,TMEM108,CpG,0.0
chr3_DMR_775,STT3B,CpG,0.0
chr3_DMR_776,EHHADH,CpG,0.0
chr3_DMR_777,IL17RD,CpG,0.0
chr3_DMR_778,TRIM42,CpG,0.0
chr3_DMR_779,KCNH8,CpG,0.0
chr3_DMR_780,SNX4,CpG,0.0
chr3_DMR_781,MAGI1,CpG,0.0
chr3_DMR_782,CCR2,CpG,0.0
chr3_DMR_784,TBCCD1,CpG,0.0
chr3_DMR_784,DNAJB11,CpG,0.0
chr3_DMR_785,GMPS,CpG,0.0
chr3_DMR_786,CCDC71,CpG,0.0
chr3_DMR_787,PODXL2,CpG,0.0
chr3_DMR_788,MED12L,CpG,0.0
chr3_DMR_789,ATP2B2,CpG,0.0
chr3_DMR_790,C3orf64,CpG,0.0
chr3_DMR_791,DHX30,CpG,0.0
chr3_DMR_792,PLOD2,CpG,0.0
chr3_DMR_793,VEPH1,CpG,0.0
chr3_DMR_794,SENP5,CpG,0.0
chr3_DMR_795,FNDC3B,CpG,0.0
chr3_DMR_796,LAMP3,CpG,0.0
chr3_DMR_797,METTL6,CpG,0.0
chr3_DMR_797,EAF1,CpG,0.0
chr3_DMR_798,PLXND1,CpG,0.0
chr3_DMR_799,ZNF385D,CpG,0.0
chr3_DMR_800,SEMA5B,CpG,0.0
chr3_DMR_802,DTX3L,CpG,0.0
chr3_DMR_802,PARP9,CpG,0.0
chr3_DMR_803,PLSCR2,CpG,0.0
chr3_DMR_804,SEMA3B,CpG,0.0
chr3_DMR_805,ZNF619,CpG,0.0
chr3_DMR_806,ALDH1L1,CpG,0.0
chr3_DMR_808,GOLGB1,CpG,0.0
chr3_DMR_809,RNF7,CpG,0.0
chr3_DMR_810,VIPR1,CpG,0.0
chr3_DMR_811,CELSR3,CpG,0.0
chr3_DMR_812,QARS,CpG,0.0
chr3_DMR_815,ECE2,CpG,0.0
chr3_DMR_816,ACAD9,CpG,0.0
chr3_DMR_817,DAG1,CpG,0.0
chr3_DMR_818,OSBPL11,CpG,0.0
chr3_DMR_819,CCDC37,CpG,0.0
chr3_DMR_821,SLC6A20,CpG,0.0
chr3_DMR_822,MECOM,CpG,0.0
chr3_DMR_825,MUSTN1,CpG,0.0
chr3_DMR_826,RAB7A,CpG,0.0
chr3_DMR_827,CDH29,CpG,0.0
chr3_DMR_828,ATP1B3,CpG,0.0
chr3_DMR_829,FEZF2,CpG,0.0
chr3_DMR_830,TMEM44,CpG,0.0
chr3_DMR_832,KLHL6,CpG,0.0
chr3_DMR_833,LRRC34,CpG,0.0
chr3_DMR_834,MYNN,CpG,0.0
chr3_DMR_835,IQSEC1,CpG,0.0
chr3_DMR_836,BSN,CpG,0.0
chr3_DMR_837,FYCO1,CpG,0.0
chr3_DMR_840,HYAL1,CpG,0.0
chr3_DMR_841,SCHIP1,CpG,0.0
chr3_DMR_842,SLC6A1,CpG,0.0
chr3_DMR_844,PRICKLE2,CpG,0.0
chr3_DMR_846,EIF1B,CpG,0.0
chr3_DMR_847,SRGAP3,CpG,0.0
chr3_DMR_848,WNT5A,CpG,0.0
chr3_DMR_849,LRCH3,CpG,0.0
chr3_DMR_852,ATG7,CpG,0.0
chr3_DMR_853,MECOM,CpG,0.0
chr3_DMR_854,CISH,CpG,0.0
chr3_DMR_855,MSL2,CpG,0.0
chr3_DMR_856,GK5,CpG,0.0
chr3_DMR_857,NISCH,CpG,0.0
chr3_DMR_857,TNNC1,CpG,0.0
chr3_DMR_858,IP6K1,CpG,0.0
chr3_DMR_858,GMPPB,CpG,0.0
chr3_DMR_859,RPL22L1,CpG,0.0
chr3_DMR_860,VILL,CpG,0.0
chr3_DMR_862,CLDN1,CpG,0.0
chr3_DMR_863,C3orf54,CpG,0.0
chr3_DMR_864,ATP13A4,CpG,0.0
chr3_DMR_867,PRKCI,CpG,0.0
chr3_DMR_868,ZBTB20,CpG,0.0
chr3_DMR_869,TBL1XR1,CpG,0.0
chr3_DMR_872,SEC61A1,CpG,0.0
chr3_DMR_873,PDE12,CpG,0.0
chr3_DMR_874,ATP13A5,CpG,0.0
chr3_DMR_875,GRM2,CpG,0.0
chr3_DMR_876,CSRNP1,CpG,0.0
chr3_DMR_877,MAGI1,CpG,0.0
chr3_DMR_878,HEG1,CpG,0.0
chr3_DMR_879,GATA2,CpG,0.0
chr3_DMR_880,TBC1D5,CpG,0.0
chr3_DMR_881,MUC4,CpG,0.0
chr3_DMR_882,DNAJC19,CpG,0.0
chr3_DMR_884,CDV3,CpG,0.0
chr3_DMR_885,WWTR1,CpG,0.0
chr3_DMR_886,ABHD10,CpG,0.0
chr3_DMR_887,FOXL2,CpG,0.0
chr3_DMR_887,C3orf72,CpG,0.0
chr3_DMR_888,YEATS2,CpG,0.0
chr3_DMR_889,ZIC4,CpG,0.0
chr3_DMR_890,C3orf16,CpG,0.0
chr3_DMR_891,AMIGO3,CpG,0.0
chr3_DMR_891,RNF123,CpG,0.0
chr3_DMR_892,FBLN2,CpG,0.0
chr3_DMR_893,LOC401052,CpG,0.0
chr3_DMR_894,LMCD1,CpG,0.0
chr3_DMR_895,CHCHD4,CpG,0.0
chr3_DMR_896,LRRC2,CpG,0.0
chr3_DMR_896,TDGF1,CpG,0.0
chr3_DMR_897,PRKAR2A,CpG,0.0
chr3_DMR_898,CBLB,CpG,0.0
chr3_DMR_899,TMEM212,CpG,0.0
chr3_DMR_900,GXYLT2,CpG,0.0
chr3_DMR_901,ZBTB38,CpG,0.0
chr3_DMR_902,NUP210,CpG,0.0
chr3_DMR_904,TMEM89,CpG,0.0
chr3_DMR_905,DBR1,CpG,0.0
chr3_DMR_906,EIF2A,CpG,0.0
chr3_DMR_906,SERP1,CpG,0.0
chr3_DMR_908,TMF1,CpG,0.0
chr3_DMR_909,TFRC,CpG,0.0
chr3_DMR_910,C3orf50,CpG,0.0
chr3_DMR_911,LARS2,CpG,0.0
chr3_DMR_912,IP6K1,CpG,0.0
chr3_DMR_913,ESYT3,CpG,0.0
chr3_DMR_914,MST1R,CpG,0.0
chr3_DMR_915,KLHL18,CpG,0.0
chr3_DMR_915,KIF9,CpG,0.0
chr3_DMR_916,IGSF11,CpG,0.0
chr3_DMR_917,TMCC1,CpG,0.0
chr3_DMR_918,VEPH1,CpG,0.0
chr3_DMR_920,C3orf36,CpG,0.0
chr3_DMR_921,HYAL1,CpG,0.0
chr3_DMR_922,CHCHD6,CpG,0.0
chr3_DMR_923,SLC41A3,CpG,0.0
chr3_DMR_924,LSM3,CpG,0.0
chr3_DMR_924,XPC,CpG,0.0
chr3_DMR_925,SPSB4,CpG,0.0
chr3_DMR_926,IQSEC1,CpG,0.0
chr3_DMR_927,PHF7,CpG,0.0
chr3_DMR_927,BAP1,CpG,0.0
chr3_DMR_928,MAPKAPK3,CpG,0.0
chr3_DMR_931,EIF5A2,CpG,0.0
chr3_DMR_932,BRPF1,CpG,0.0
chr3_DMR_934,MYRIP,CpG,0.0
chr3_DMR_935,MAP6D1,CpG,0.0
chr3_DMR_936,SEMA5B,CpG,0.0
chr3_DMR_937,STAG1,CpG,0.0
chr3_DMR_938,OXSR1,CpG,0.0
chr3_DMR_939,NBEAL2,CpG,0.0
chr3_DMR_940,IRAK2,CpG,0.0
chr3_DMR_941,RPL39L,CpG,0.0
chr3_DMR_942,MRPS22,CpG,0.0
chr3_DMR_943,CCDC48,CpG,0.0
chr3_DMR_944,NUDT16,CpG,0.0
chr3_DMR_945,TEX264,CpG,0.0
chr3_DMR_946,C3orf59,CpG,0.0
chr3_DMR_947,BSN,CpG,0.0
chr3_DMR_948,ZBTB20,CpG,0.0
chr3_DMR_949,RAB43,CpG,0.0
chr3_DMR_950,ABHD14A,CpG,0.0
chr3_DMR_950,ABHD14B,CpG,0.0
chr3_DMR_951,KBTBD8,CpG,0.0
chr3_DMR_952,PARL,CpG,0.0
chr3_DMR_953,NR1D2,CpG,0.0
chr3_DMR_955,PSMD2,CpG,0.0
chr3_DMR_956,CNOT10,CpG,0.0
chr3_DMR_957,IQSEC1,CpG,0.0
chr3_DMR_958,RYK,CpG,0.0
chr3_DMR_959,MCM2,CpG,0.0
chr3_DMR_960,FSTL1,CpG,0.0
chr3_DMR_961,PPP2R3A,CpG,0.0
chr3_DMR_962,TMEM111,CpG,0.0
chr3_DMR_963,SEMA3G,CpG,0.0
chr3_DMR_964,SRGAP3,CpG,0.0
chr3_DMR_965,SENP2,CpG,0.0
chr3_DMR_966,MITF,CpG,0.0
chr3_DMR_967,THPO,CpG,0.0
chr3_DMR_968,PLCD1,CpG,0.0
chr3_DMR_969,PTPRG,CpG,0.0
chr3_DMR_970,SUSD5,CpG,0.0
chr3_DMR_972,TNIK,CpG,0.0
chr3_DMR_973,B4GALT4,CpG,0.0
chr3_DMR_974,TCTEX1D2,CpG,0.0
chr3_DMR_975,KPNA1,CpG,0.0
chr3_DMR_976,ALCAM,CpG,0.0
chr3_DMR_977,EIF4G1,CpG,0.0
chr3_DMR_978,VGLL4,CpG,0.0
chr3_DMR_979,RNF13,CpG,0.0
chr3_DMR_980,BCL6,CpG,0.0
chr3_DMR_982,C3orf10,CpG,0.0
chr3_DMR_983,CELSR3,CpG,0.0
chr3_DMR_984,SCN5A,CpG,0.0
chr3_DMR_985,C3orf21,CpG,0.0
chr3_DMR_987,PLXNA1,CpG,0.0
chr3_DMR_988,VGLL4,CpG,0.0
chr3_DMR_989,HHATL,CpG,0.0
chr3_DMR_990,SHISA5,CpG,0.0
chr3_DMR_991,CMTM7,CpG,0.0
chr3_DMR_992,LEPREL1,CpG,0.0
chr3_DMR_993,CMTM7,CpG,0.0
chr3_DMR_994,VILL,CpG,0.0
chr3_DMR_995,VEPH1,CpG,0.0
chr3_DMR_996,XRN1,CpG,0.0
chr3_DMR_997,IFT57,CpG,0.0
chr3_DMR_998,CCDC39,CpG,0.0
chr3_DMR_999,SGOL1,CpG,0.0
chr3_DMR_1000,ITGB5,CpG,0.0
chr3_DMR_1002,SKIL,CpG,0.0
chr3_DMR_1003,RTP4,CpG,0.0
chr3_DMR_1005,SLC22A13,CpG,0.0
chr3_DMR_1006,XRN1,CpG,0.0
chr3_DMR_1007,RFTN1,CpG,0.0
chr3_DMR_1008,MYLK,CpG,0.0
chr3_DMR_1009,C3orf21,CpG,0.0
chr3_DMR_1011,RNF168,CpG,0.0
chr3_DMR_1012,CEP97,CpG,0.0
chr3_DMR_1013,FAM116A,CpG,0.0
chr3_DMR_1014,TFG,CpG,0.0
chr3_DMR_1016,KLF15,CpG,0.0
chr3_DMR_1017,GABRR3,CpG,0.0
chr3_DMR_1018,C3orf21,CpG,0.0
chr3_DMR_1019,CPN2,CpG,0.0
chr3_DMR_1020,AGTR1,CpG,0.0
chr3_DMR_1021,MAGI1,CpG,0.0
chr3_DMR_1022,EIF4E3,CpG,0.0
chr3_DMR_1024,ITIH4,CpG,0.0
chr3_DMR_1025,SEC22A,CpG,0.0
chr3_DMR_1026,MINA,CpG,0.0
chr3_DMR_1027,CAMKV,CpG,0.0
chr3_DMR_1028,ARL6IP5,CpG,0.0
chr3_DMR_1029,SLC25A36,CpG,0.0
chr3_DMR_1030,SLC6A20,CpG,0.0
chr3_DMR_1031,OSTalpha,CpG,0.0
chr3_DMR_1032,MON1A,CpG,0.0
chr3_DMR_1033,TRAT1,CpG,0.0
chr3_DMR_1034,BDH1,CpG,0.0
chr3_DMR_1035,SYN2,CpG,0.0
chr3_DMR_1036,ALG3,CpG,0.0
chr3_DMR_1036,ECE2,CpG,0.0
chr3_DMR_1037,RBMS3,CpG,0.0
chr3_DMR_1038,SLC6A6,CpG,0.0
chr3_DMR_1039,SOX2OT,CpG,0.0
chr3_DMR_1040,FXR1,CpG,0.0
chr3_DMR_1042,TRPC1,CpG,0.0
chr3_DMR_1043,SKIL,CpG,0.0
chr3_DMR_1044,CSRNP1,CpG,0.0
chr3_DMR_1045,SRGAP3,CpG,0.0
chr3_DMR_1046,PLXND1,CpG,0.0
chr3_DMR_1047,MIR568,CpG,0.0
chr3_DMR_1049,C3orf38,CpG,0.0
chr3_DMR_1051,LHFPL4,CpG,0.0
chr3_DMR_1052,IQCJ,CpG,0.0
chr3_DMR_1053,COX17,CpG,0.0
chr3_DMR_1054,ENTPD3,CpG,0.0
chr3_DMR_1055,BBX,CpG,0.0
chr3_DMR_1056,TM4SF4,CpG,0.0
chr3_DMR_1057,EEFSEC,CpG,0.0
chr3_DMR_1058,SUMF1,CpG,0.0
chr3_DMR_1059,MIR548G,CpG,0.0
chr3_DMR_1059,COL8A1,CpG,0.0
chr3_DMR_1060,KIAA1143,CpG,0.0
chr3_DMR_1060,KIF15,CpG,0.0
chr3_DMR_1061,LOC100128640,CpG,0.0
chr3_DMR_1061,ACVR2B,CpG,0.0
chr3_DMR_1062,RPL32,CpG,0.0
chr3_DMR_1062,SNORA7A,CpG,0.0
chr3_DMR_1063,VGLL3,CpG,0.0
chr3_DMR_1064,UBA3,CpG,0.0
chr3_DMR_1065,RPL24,CpG,0.0
chr3_DMR_1066,NEK11,CpG,0.0
chr3_DMR_1066,ASTE1,CpG,0.0
chr3_DMR_1067,GAP43,CpG,0.0
chr3_DMR_1068,TMEM44,CpG,0.0
chr3_DMR_1071,DNAJB8,CpG,0.0
chr3_DMR_1072,C3orf52,CpG,0.0
chr3_DMR_1072,MIR567,CpG,0.0
chr3_DMR_1073,PROS1,CpG,0.0
chr3_DMR_1074,KCNMB3,CpG,0.0
chr3_DMR_1076,COMMD2,CpG,0.0
chr3_DMR_1077,EIF4E3,CpG,0.0
chr3_DMR_1077,GPR27,CpG,0.0
chr3_DMR_1078,AMT,CpG,0.0
chr3_DMR_1078,TCTA,CpG,0.0
chr3_DMR_1079,TPRG1,CpG,0.0
chr3_DMR_1080,AP2M1,CpG,0.0
chr3_DMR_1081,RAP2B,CpG,0.0
chr3_DMR_1082,ACPL2,CpG,0.0
chr3_DMR_1083,CCDC66,CpG,0.0
chr3_DMR_1086,NBEAL2,CpG,0.0
chr3_DMR_1087,RTP3,CpG,0.0
chr3_DMR_1089,NISCH,CpG,0.0
chr3_DMR_1090,OGG1,CpG,0.0
chr3_DMR_1091,FAM55C,CpG,0.0
chr3_DMR_1092,GHRLOS,CpG,0.0
chr3_DMR_1092,GHRL,CpG,0.0
chr3_DMR_1093,GFM1,CpG,0.0
chr3_DMR_1094,RPP14,CpG,0.0
chr3_DMR_1095,SETD2,CpG,0.0
chr3_DMR_1096,SEMA3F,CpG,0.0
chr3_DMR_1097,MRPL47,CpG,0.0
chr3_DMR_1097,NDUFB5,CpG,0.0
chr3_DMR_1098,VWA5B2,CpG,0.0
chr3_DMR_1100,C3orf70,CpG,0.0
chr3_DMR_1101,SOX2OT,CpG,0.0
chr3_DMR_1102,SLC41A3,CpG,0.0
chr3_DMR_1103,MRPL3,CpG,0.0
chr3_DMR_1104,NSUN3,CpG,0.0
chr3_DMR_1104,DHFRL1,CpG,0.0
chr3_DMR_1105,VPS8,CpG,0.0
chr3_DMR_1106,SOX2OT,CpG,0.0
chr3_DMR_1106,SOX2,CpG,0.0
chr3_DMR_1107,GHSR,CpG,0.0
chr3_DMR_1108,ATXN7,CpG,0.0
chr3_DMR_1109,CCDC12,CpG,0.0
chr3_DMR_1110,PCOLCE2,CpG,0.0
chr3_DMR_1111,ANO10,CpG,0.0
chr3_DMR_1112,PBRM1,CpG,0.0
chr3_DMR_1112,GNL3,CpG,0.0
chr3_DMR_1113,KBTBD12,CpG,0.0
chr3_DMR_1114,ZNF197,CpG,0.0
chr3_DMR_1115,FBXL2,CpG,0.0
chr3_DMR_1116,MIR563,CpG,0.0
chr3_DMR_1120,CACNA1D,CpG,0.0
chr3_DMR_1121,C3orf15,CpG,0.0
chr3_DMR_1122,GALNTL2,CpG,0.0
chr3_DMR_1124,BCL6,CpG,0.0
chr3_DMR_1125,ARL6IP5,CpG,0.0
chr3_DMR_1126,PARP15,CpG,0.0
chr3_DMR_1127,COL29A1,CpG,0.0
chr3_DMR_1128,BOC,CpG,0.0
