"DMR","CpGs"
"chr1_DMR_2224","cg16554164;cg11756095"
"chr1_DMR_2225","cg12429444;cg26303861;cg14565919;cg19758033;cg16383081;cg03218019;cg02151528"
"chr1_DMR_2226","cg10962762;cg12210914"
"chr1_DMR_2227","cg20740051;cg03522910;cg27235008;cg17752960"
"chr1_DMR_2228","cg10432422;cg26516532;cg27576785;cg04684114"
"chr1_DMR_2229","cg09806671;cg08460041;cg09248345;cg27440715;cg07686479;cg24650501;cg08606911;cg02847948"
"chr1_DMR_2230","cg11587315;cg07786256;cg21774220;cg03602898;cg05938623"
"chr1_DMR_2231","cg09473867;cg02387474;cg27305255"
"chr1_DMR_2232","cg20871445;cg02224920"
"chr1_DMR_2233","cg13683667;cg13225830"
"chr1_DMR_2234","cg08270205;cg15099879;cg06786804"
"chr1_DMR_2235","cg20013286;cg21280061;cg25008704;cg04057053"
"chr1_DMR_2236","cg08146483;cg08272731"
"chr1_DMR_2237","cg13916989;cg19246549"
"chr1_DMR_2238","cg07185425;cg00161124"
"chr1_DMR_2239","cg17142722;cg13169132"
"chr1_DMR_2240","cg25974897;cg16064097"
"chr1_DMR_2241","cg24477193;cg26272228;cg07379140;cg20607106;cg06755365;cg08721347"
"chr1_DMR_2242","cg03750567;cg00851518;cg08157684"
"chr1_DMR_2243","cg07015494;cg08169409;cg03086563"
"chr1_DMR_2244","cg22122680;cg16062480;cg15902745"
"chr1_DMR_2245","cg09279512;cg17463149;cg12611449;cg02855983;cg08872722;cg19570545;cg16819028"
"chr1_DMR_2246","cg00866556;cg07556059"
"chr1_DMR_2247","cg05706189;cg26037170;cg25021695"
"chr1_DMR_2248","cg01801182;cg23577350"
"chr1_DMR_2249","cg24934408;cg21010178"
"chr1_DMR_2250","cg22048228;cg09248714"
"chr1_DMR_2251","cg21690979;cg11689622;cg03054713"
"chr1_DMR_2252","cg04885666;cg12467090;cg10507231"
"chr1_DMR_2253","cg05640322;cg22483742;cg27552960"
"chr1_DMR_2254","cg07102302;cg09169938;cg21434251;cg26534508;cg07757497"
"chr1_DMR_2255","cg20329303;cg07555102"
"chr1_DMR_2256","cg13900327;cg19088572;cg20156382"
"chr1_DMR_2257","cg06835744;cg07288476"
"chr1_DMR_2258","cg00983637;cg09649799"
"chr1_DMR_2259","cg12054521;cg27519942"
"chr1_DMR_2260","cg15673731;cg20018234"
"chr1_DMR_2261","cg22341256;cg11428724;cg13969001;cg09975867"
"chr1_DMR_2262","cg01074657;cg09662920;cg09107315;cg19766489;cg20785560;cg09826056"
"chr1_DMR_2263","cg07223626;cg02925840;cg25147866;cg11086275;cg04027549;cg16125762;cg23954193;cg21438192"
"chr1_DMR_2264","cg10829621;cg19743103;cg20157525;cg04992704"
"chr1_DMR_2265","cg09138445;cg20248954;cg04462209"
"chr1_DMR_2266","cg23633547;cg00795024;cg00949753;cg07896717"
"chr1_DMR_2267","cg09323228;cg27393325;cg13848568;cg03123370;cg04700938;cg00081251"
"chr1_DMR_2268","cg04918900;cg24358529;cg02773041;cg15726714"
"chr1_DMR_2269","cg16039960;cg16001793;cg20932849"
"chr1_DMR_2270","cg19896612;cg05947402;cg17185401;cg12419308;cg06764670"
"chr1_DMR_2271","cg06902607;cg26276327;cg15092219"
"chr1_DMR_2272","cg09820101;cg17133668"
"chr1_DMR_2273","cg24495298;cg04852972"
"chr1_DMR_2274","cg06198384;cg25286536;cg02483593"
"chr1_DMR_2275","cg19588399;cg02576092"
"chr1_DMR_2276","cg21363943;cg19315508"
"chr1_DMR_2277","cg09988062;cg19724344;cg06838427"
"chr1_DMR_2278","cg18141828;cg19715410"
"chr1_DMR_2279","cg20326928;cg03745244;cg10798048;cg21189909"
"chr1_DMR_2280","cg09871695;cg02291204;cg04455180;cg24747565;cg24860534"
"chr1_DMR_2281","cg04093972;cg07848728;cg02911518"
"chr1_DMR_2282","cg22439922;cg00423039"
"chr1_DMR_2283","cg10228777;cg25104105;cg05006349;cg00185566;cg03391684;cg04996873"
"chr1_DMR_2284","cg04287755;cg01004918"
"chr1_DMR_2285","cg21450888;cg24002149"
"chr1_DMR_2286","cg17184491;cg11813544;cg16026501"
"chr1_DMR_2287","cg17815134;cg01505109"
"chr1_DMR_2288","cg05387269;cg14992101"
"chr1_DMR_2289","cg00128877;cg15468907;cg09361491;cg27535885;cg25315235"
"chr1_DMR_2290","cg14666476;cg21695487;cg20613337;cg16718920;cg23097509;cg18436758;cg00577361;cg05780577;cg19078903"
"chr1_DMR_2291","cg12132894;cg06374766;cg12271223;cg27178407;cg22622886;cg20323445;cg10429262;cg17940013"
"chr1_DMR_2292","cg13204758;cg12665890"
"chr1_DMR_2293","cg03960390;cg15733049"
"chr1_DMR_2294","cg11677857;cg14510359;cg23606171;cg00980319;cg05874270;cg05838104;cg12750103"
"chr1_DMR_2295","cg11750112;cg23260625"
"chr1_DMR_2296","cg22008490;cg16266227"
"chr1_DMR_2297","cg11521998;cg09172260"
"chr1_DMR_2298","cg12040210;cg25065518;cg25341687;cg12527097;cg26612418;cg00397103;cg16173186"
"chr1_DMR_2299","cg07203271;cg05885647;cg07598331;cg07220007"
"chr1_DMR_2300","cg02709834;cg21535942;cg26690034;cg10128416;cg21906852;cg26855724;cg26752657;cg09502221"
"chr1_DMR_2301","cg04108615;cg19613740;cg16262392;cg08865423"
"chr1_DMR_2302","cg26164710;cg00915214"
"chr1_DMR_2303","cg11412129;cg02664812;cg27043786;cg21144928"
"chr1_DMR_2304","cg20630560;cg26940100;cg07198402;cg00251125;cg01765600;cg27394460;cg25622855;cg22370694;cg26550330"
"chr1_DMR_2305","cg01963221;cg17079378;cg20388062;cg24325883"
"chr1_DMR_2306","cg07187280;cg04224864;cg24408603;cg03115649;cg11754670;cg14526939;cg08274504;cg07189550"
"chr1_DMR_2307","cg01971813;cg11736940;cg25651783"
"chr1_DMR_2308","cg13379827;cg15583014;cg14792081;cg00600454;cg01340542"
"chr1_DMR_2309","cg25137711;cg08640804;cg07274590"
"chr1_DMR_2310","cg03397750;cg10653240;cg23271269;cg12688609;cg03814321;cg07591515;cg00770085"
"chr1_DMR_2311","cg09754110;cg13486959"
"chr1_DMR_2312","cg01973605;cg00003345"
"chr1_DMR_2313","cg19601664;cg04463636"
"chr1_DMR_2314","cg13693260;cg15991546;cg24440854;cg21856005"
"chr1_DMR_2315","cg09424759;cg14009098;cg25437385"
"chr1_DMR_2316","cg02952008;cg01907584;cg11253514"
"chr1_DMR_2317","cg03339458;cg00107782"
"chr1_DMR_2318","cg16237891;cg23019889"
"chr1_DMR_2319","cg00758420;cg26049379;cg00296458;cg08029920"
"chr1_DMR_2320","cg16716189;cg26190476;cg10839663;cg15070208;cg23746359;cg02922094"
"chr1_DMR_2321","cg03965682;cg06210887;cg15070096;cg03518179;cg19720805;cg15719199;cg03989569;cg07399312"
"chr1_DMR_2322","cg26335530;cg11796233"
"chr1_DMR_2323","cg13864586;cg27223543;cg02613871"
"chr1_DMR_2324","cg19901801;cg19874857"
"chr1_DMR_2325","cg15894563;cg07180508;cg23098012;cg07807709;cg08934443"
"chr1_DMR_2326","cg09024791;cg12033297;cg20323571"
"chr1_DMR_2327","cg06606318;cg09007163;cg24481381;cg22395192;cg08830553;cg07399977"
"chr1_DMR_2328","cg24638326;cg19022717;cg09858604;cg06374307"
"chr1_DMR_2329","cg16427321;cg26027690"
"chr1_DMR_2330","cg03148373;cg07236207"
"chr1_DMR_2331","cg08748615;cg25139493"
"chr1_DMR_2332","cg19811123;cg18159850;cg26303165;cg18477163;cg08312035"
"chr1_DMR_2333","cg13098379;cg12046837;cg27426044"
"chr1_DMR_2334","cg19922137;cg04932544;cg15389528;cg25371503;cg02795029"
"chr1_DMR_2335","cg03640258;cg15867428"
"chr1_DMR_2336","cg10942056;cg13952483"
"chr1_DMR_2337","cg19159602;cg11797145;cg03459646;cg03024714;cg19901472;cg10016835"
"chr1_DMR_2338","cg24501230;cg09994773;cg00909706"
"chr1_DMR_2339","cg16724148;cg06086933"
"chr1_DMR_2340","cg00021933;cg24439713;cg13388692;cg01040434;cg19800670"
"chr1_DMR_2341","cg15077218;cg04717320"
"chr1_DMR_2342","cg19709585;cg26533764;cg03977657;cg01580568"
"chr1_DMR_2343","cg11392667;cg16599568;cg07017636"
"chr1_DMR_2344","cg01782826;cg02079933;cg14046986;cg04259326;cg12336540;cg07751287;cg04275362"
"chr1_DMR_2345","cg05386151;cg09821112;cg26894091"
"chr1_DMR_2346","cg04355435;cg07354371"
"chr1_DMR_2347","cg22860233;cg16531833;cg25389463"
"chr1_DMR_2348","cg03734700;cg24475758"
"chr1_DMR_2349","cg03395993;cg00175702;cg01449266"
"chr1_DMR_2350","cg09168692;cg00019458"
"chr1_DMR_2351","cg18394216;cg23996829"
"chr1_DMR_2352","cg23724738;cg24000437"
"chr1_DMR_2353","cg19236794;cg04719903"
"chr1_DMR_2354","cg22609277;cg07318155;cg11071762"
"chr1_DMR_2355","cg05364759;cg13554489;cg07162257;cg18236421;cg22154616;cg17015803"
"chr1_DMR_2356","cg16051114;cg03933646;cg17475467"
"chr1_DMR_2357","cg04872399;cg19233001"
"chr1_DMR_2358","cg07044282;cg05630800"
"chr1_DMR_2359","cg05792003;cg17906267;cg17221348;cg16032570;cg07154958;cg09890536;cg05386594;cg16540768"
"chr1_DMR_2360","cg06187843;cg16818909;cg19628758"
"chr1_DMR_2361","cg06802365;cg20492807;cg11804724;cg03199058"
"chr1_DMR_2362","cg20627744;cg04853978"
"chr1_DMR_2363","cg15014010;cg01741932"
"chr1_DMR_2364","cg08458292;cg07173275"
"chr1_DMR_2365","cg15962375;cg04975227"
"chr1_DMR_2366","cg22020633;cg07589034"
"chr1_DMR_2367","cg21197365;cg00298020;cg18227923;cg16965475;cg07142859;cg08613513"
"chr1_DMR_2368","cg12805764;cg10272885;cg24315913;cg25705526"
"chr1_DMR_2369","cg25362248;cg02396888;cg18138172;cg06703062;cg01066465"
"chr1_DMR_2370","cg12528016;cg00695077"
"chr1_DMR_2371","cg07807395;cg16512885;cg24037938"
"chr1_DMR_2372","cg15129052;cg22081003"
"chr1_DMR_2373","cg15455721;cg09899041"
"chr1_DMR_2374","cg05161602;cg05777400;cg06531250;cg09354589"
"chr1_DMR_2375","cg21416600;cg20932535"
"chr1_DMR_2376","cg00783553;cg05966431"
"chr1_DMR_2377","cg05035248;cg19734301;cg08470135;cg05041517"
"chr1_DMR_2378","cg16552589;cg14212631;cg10519406;cg10212558;cg24401645;cg13650137"
"chr1_DMR_2379","cg22513511;cg24694326;cg09818520;cg08008299;cg12300890"
"chr1_DMR_2380","cg26412603;cg21515744"
"chr1_DMR_2381","cg00920668;cg05700897;cg03888412;cg23918388"
"chr1_DMR_2382","cg21819468;cg09804380;cg24671344;cg18877506;cg05281894"
"chr1_DMR_2383","cg13089299;cg09021712;cg02852923;cg18411941"
"chr1_DMR_2384","cg10228283;cg21860629;cg11534293"
"chr1_DMR_2385","cg18787908;cg11702274;cg08927728"
"chr1_DMR_2386","cg22817993;cg17854471;cg24087944"
"chr1_DMR_2387","cg16491274;cg27555392;cg21601498"
"chr1_DMR_2388","cg11661940;cg23236366"
"chr1_DMR_2389","cg07804749;cg01017395"
"chr1_DMR_2390","cg24741158;cg00779565;cg23640231"
"chr1_DMR_2391","cg21777089;cg01817019"
"chr1_DMR_2392","cg10594585;cg03760644"
"chr1_DMR_2393","cg03537215;cg19917714"
"chr1_DMR_2394","cg24941513;cg27631248"
"chr1_DMR_2395","cg01417615;cg07808546;cg03000358;cg02626152"
"chr1_DMR_2396","cg19361032;cg22158212"
"chr1_DMR_2397","cg17603733;cg01002313"
"chr1_DMR_2398","cg12278705;cg07165167;cg07350718"
"chr1_DMR_2399","cg27307206;cg11523538;cg16546309;cg25664402;cg21826900"
"chr1_DMR_2400","cg00505606;cg06996273;cg19819912;cg06646112;cg19692322"
"chr1_DMR_2401","cg22451657;cg07181374"
"chr1_DMR_2402","cg06277277;cg25214346"
"chr1_DMR_2403","cg22367678;cg11504515"
"chr1_DMR_2404","cg21862126;cg14824543"
"chr1_DMR_2405","cg02859098;cg19816994;cg24658349"
"chr1_DMR_2406","cg20482698;cg18770350;cg21376883;cg10819259;cg18119735"
"chr1_DMR_2407","cg07101654;cg22866430;cg00057791;cg15598719;cg09686497"
"chr1_DMR_2408","cg16565154;cg23612220;cg22392857;cg21544402"
"chr1_DMR_2409","cg07998070;cg10662787"
"chr1_DMR_2410","cg24144893;cg06206218"
"chr1_DMR_2411","cg03940137;cg14175580"
"chr1_DMR_2412","cg09819083;cg04043150;cg20510164"
"chr1_DMR_2413","cg26574621;cg16563938;cg15397472"
"chr1_DMR_2414","cg20950465;cg16557944"
"chr1_DMR_2415","cg03604763;cg12062099"
"chr1_DMR_2416","cg08662116;cg19811365;cg25737215;cg08468283"
"chr1_DMR_2417","cg06917617;cg26750487;cg11752769;cg24557058;cg00115980"
"chr1_DMR_2418","cg21118819;cg21679391"
"chr1_DMR_2419","cg04282138;cg04763554"
"chr1_DMR_2420","cg04167064;cg11461030"
"chr1_DMR_2421","cg08458912;cg11084518"
"chr1_DMR_2422","cg20066612;cg06808585;cg24509168;cg27315635"
"chr1_DMR_2423","cg24583966;cg17539235"
"chr1_DMR_2424","cg07091412;cg02941008"
"chr1_DMR_2425","cg13541961;cg20808893"
"chr1_DMR_2426","cg15822908;cg01620569;cg23811096"
"chr1_DMR_2427","cg26035817;cg00041401;cg14385738"
"chr1_DMR_2428","cg04315214;cg22342249;cg13918804;cg22876683;cg19257562"
"chr1_DMR_2429","cg11697440;cg10203842"
"chr1_DMR_2430","cg06990630;cg21859597;cg26806560;cg08339208"
"chr1_DMR_2431","cg06161752;cg17746819;cg23062876"
"chr1_DMR_2432","cg05340578;cg00454742;cg00548889;cg06511330"
"chr1_DMR_2433","cg26059919;cg17246606"
"chr1_DMR_2434","cg17725100;cg04275027;cg00480136"
"chr1_DMR_2435","cg09938328;cg15985196;cg02155829;cg22850304"
"chr1_DMR_2436","cg02103362;cg12415902"
"chr1_DMR_2437","cg16598600;cg10375890;cg01557951;cg13941830;cg17744293;cg23638252;cg14977066"
"chr1_DMR_2438","cg03096785;cg20858526"
"chr1_DMR_2439","cg04395153;cg25683570"
"chr1_DMR_2440","cg06962421;cg10835795;cg06398244"
"chr1_DMR_2441","cg22220310;cg14477263"
"chr1_DMR_2442","cg10888244;cg16276523;cg24599107"
"chr1_DMR_2443","cg00295382;cg16163765"
"chr1_DMR_2444","cg22168255;cg06929846;cg00765922"
"chr1_DMR_2445","cg08029281;cg23726106;cg17833169;cg21684588;cg12940439;cg03340356"
"chr1_DMR_2446","cg26067203;cg05700129"
"chr1_DMR_2447","cg05258079;cg22875332"
"chr1_DMR_2448","cg22605303;cg08980837"
"chr1_DMR_2449","cg09586198;cg18864179"
"chr1_DMR_2450","cg22817271;cg17104542"
"chr1_DMR_2451","cg22489498;cg26293546;cg23084895"
"chr1_DMR_2452","cg00930078;cg04141460;cg17057965;cg17063018;cg00163481;cg09318521;cg20030671;cg26043391"
"chr1_DMR_2453","cg02446871;cg24878454"
"chr1_DMR_2454","cg14975138;cg10762109;cg08424167"
"chr1_DMR_2455","cg08159989;cg07429623;cg21996351"
"chr1_DMR_2456","cg00064261;cg07777790"
"chr1_DMR_2457","cg23255020;cg06790053"
"chr1_DMR_2458","cg20678082;cg10555800"
"chr1_DMR_2459","cg08109345;cg02491234"
"chr1_DMR_2460","cg14157855;cg09168548;cg24839533;cg00973823"
"chr1_DMR_2461","cg09603935;cg19639479;cg09860601;cg03116557"
"chr1_DMR_2462","cg01958550;cg07155223;cg18181196"
"chr1_DMR_2463","cg09236098;cg10164137"
"chr1_DMR_2464","cg25862444;cg24346776"
"chr1_DMR_2465","cg02287630;cg23259435;cg07739803;cg06799423"
"chr1_DMR_2466","cg01770831;cg14013804"
"chr1_DMR_2467","cg12092561;cg01785417;cg15658487;cg21296749;cg22002075"
"chr1_DMR_2468","cg23278267;cg22594309;cg02151754;cg23959605;cg16315376;cg12773604"
"chr1_DMR_2469","cg15742605;cg10827460;cg09756115"
"chr1_DMR_2470","cg23661309;cg07926531;cg13099847;cg17500915;cg00249030;cg26833830;cg12585759"
"chr1_DMR_2471","cg22076160;cg17500055"
"chr1_DMR_2472","cg11574457;cg21459919"
"chr1_DMR_2473","cg11333375;cg16555896;cg09438972"
"chr1_DMR_2474","cg27185504;cg09074223"
"chr1_DMR_2475","cg16430402;cg09247779"
"chr1_DMR_2476","cg03651478;cg13892570"
"chr1_DMR_2477","cg18818048;cg06272678;cg15931557;cg19857071;cg24115558;cg21875080;cg24341722;cg15076218"
"chr1_DMR_2478","cg05127548;cg03149157"
"chr1_DMR_2479","cg26931437;cg06759781"
"chr1_DMR_2480","cg10440483;cg01829387;cg10708588;cg13083004;cg05788332;cg17023648;cg17491185;cg00417419;cg17051623"
"chr1_DMR_2481","cg07192622;cg20253742"
"chr1_DMR_2482","cg18288119;cg02293668;cg21052164"
"chr1_DMR_2483","cg00562731;cg06528214;cg15503006;cg22332891;cg05383153;cg12743115;cg13115240"
"chr1_DMR_2484","cg18318878;cg10288510;cg23971069"
"chr1_DMR_2485","cg04146995;cg11699150"
"chr1_DMR_2486","cg10518155;cg06754550"
"chr1_DMR_2487","cg09473576;cg22942704;cg05301811;cg11526866"
"chr1_DMR_2488","cg00650088;cg13088465;cg00458793;cg07823920;cg00647769"
"chr1_DMR_2489","cg03133876;cg01719793;cg02298360;cg20281040"
"chr1_DMR_2490","cg24039780;cg09871424"
"chr1_DMR_2491","cg08927102;cg24709745"
"chr1_DMR_2492","cg18435782;cg11070929;cg22040823"
"chr1_DMR_2493","cg05346878;cg27398499"
"chr1_DMR_2494","cg01077274;cg14207589"
"chr1_DMR_2495","cg16694480;cg10981111"
"chr1_DMR_2496","cg06177599;cg04132522;cg27058244;cg13966091"
"chr1_DMR_2497","cg23999112;cg12445832"
"chr1_DMR_2498","cg08891920;cg26343154"
"chr1_DMR_2499","cg00823843;cg13939055"
"chr1_DMR_2500","cg09636459;cg18261877;cg02268584"
"chr1_DMR_2501","cg04580750;cg03534674"
"chr1_DMR_2502","cg22333960;cg17211582;cg04128045"
"chr1_DMR_2503","cg17185953;cg12060472"
"chr1_DMR_2504","cg03349767;cg01790367;cg08749736;cg15889017"
"chr1_DMR_2505","cg08549396;cg15505287;cg14840612"
"chr1_DMR_2506","cg23937582;cg00003513;cg07985864"
"chr1_DMR_2507","cg18380175;cg25306611;cg23243867;cg00294096;cg25272065;cg21961707;cg08431563;cg23231420"
"chr2_DMR_1","cg20805133;cg25890838;cg17322655;cg27051683;cg03889044;cg18096388;cg02122525;cg00795812"
"chr2_DMR_2","cg04414451;cg16528895;cg16463700;cg10236239;cg17966192;cg19908768;cg05036173;cg14300730"
"chr2_DMR_3","cg08859278;cg25095518;cg13853141;cg25564535;cg09006159;cg12332902;cg15933451;cg21773162"
"chr2_DMR_4","cg14102437;cg08357990;cg03906115;cg11918450;cg15135286;cg13652008"
"chr2_DMR_5","cg19108747;cg00698413;cg25313930;cg01244015;cg23013850;cg26154999;cg01833675;cg10114725;cg18890556;cg24516901"
"chr2_DMR_6","cg09248944;cg20351640;cg08347373;cg15352315;cg04735129;cg20730198;cg03432176;cg09643312;cg15923513"
"chr2_DMR_7","cg15579587;cg19269264;cg14162912;cg03892838;cg07063912;cg06044463;cg26448489;cg16787624;cg09037813;cg10984625;cg20732367"
"chr2_DMR_8","cg22924060;cg27628891;cg00669330;cg11654325;cg27490404;cg24290756;cg23491841;cg03170013"
"chr2_DMR_9","cg14775296;cg06833110;cg09535924;cg06994420;cg02551743;cg04751149;cg09550083;cg08238215;cg12082609;cg01271812;cg10464312"
"chr2_DMR_10","cg00014112;cg15975865;cg19484420;cg25390440;cg08129583;cg13901526;cg17105014;cg17848763;cg15768103"
"chr2_DMR_11","cg14153876;cg13180038;cg21532323;cg09770905;cg23521589;cg01241758;cg03230175;cg14754555;cg15736127;cg02276944;cg09290120;cg02039987;cg20390242;cg26686439"
"chr2_DMR_12","cg23967461;cg24749947;cg19286686;cg01943873"
"chr2_DMR_13","cg11463612;cg18124955;cg23563438;cg26703674;cg03295096;cg23624723;cg12661648;cg19134705;cg05731808;cg19925054;cg03311606;cg10155853;cg10749011;cg15890754;cg22061832;cg10331637;cg10556330;cg20795401"
"chr2_DMR_14","cg20340242;cg21603144;cg14325025;cg17142183"
"chr2_DMR_15","cg22575540;cg25218351;cg19101417;cg05374129;cg12926357;cg03253556;cg11844769"
"chr2_DMR_16","cg00573770;cg04836221;cg00323965;cg26522240;cg19123296;cg15377518;cg14421309;cg09670616;cg07246225;cg00602811"
"chr2_DMR_17","cg11358945;cg00240195;cg18941818;cg03339537;cg10089963;cg21226516;cg21758126;cg27074041;cg17654050;cg00194126;cg00558219;cg13500877;cg06101180;cg20570611;cg09906382;cg14811105;cg16058600;cg20398418;cg02964555"
"chr2_DMR_18","cg09991306;cg26058474;cg22635676;cg10717312;cg07644939;cg11207793;cg26707709"
"chr2_DMR_19","cg12105450;cg16745604;cg07754492;cg24401737;cg04781494"
"chr2_DMR_20","cg21486510;cg13464573;cg27281690;cg19240637;cg05087455"
"chr2_DMR_21","cg02251243;cg05981785;cg21603615;cg19445690"
"chr2_DMR_22","cg18310515;cg24620635;cg10628126;cg25066857;cg11752275"
"chr2_DMR_23","cg07935264;cg20157753;cg15836722;cg01290568;cg23149881;cg18773937"
"chr2_DMR_24","cg15657888;cg08861115;cg25202141;cg13298167"
"chr2_DMR_25","cg22077197;cg26469895;cg26767974"
"chr2_DMR_26","cg10038720;cg15609237;cg10087519;cg02659030;cg16214269;cg13313833;cg08736813;cg18977423;cg08691235;cg19906284;cg09915519"
"chr2_DMR_27","cg26337070;cg08079596;cg05318142"
"chr2_DMR_28","cg24231380;cg04773645;cg27217350;cg03270969;cg08382680;cg04010248;cg02162605"
"chr2_DMR_29","cg19399165;cg15895197;cg03514843;cg14021880;cg22047282;cg20516209"
"chr2_DMR_30","cg20469837;cg27409015;cg27582124;cg06240690"
"chr2_DMR_31","cg02766770;cg02111865;cg19360009;cg22478952;cg19743666;cg07707599"
"chr2_DMR_32","cg05564251;cg03887528;cg24995347;cg17607231;cg04579254"
"chr2_DMR_33","cg01942558;cg01189638;cg09727050;cg01974138"
"chr2_DMR_34","cg18672716;cg18408209;cg14384416"
"chr2_DMR_35","cg26495711;cg26456554;cg19324997;cg22937172;cg21621782;cg03585053;cg21184951"
"chr2_DMR_36","cg10317145;cg11467440;cg20926720;cg25781162;cg05864261;cg03157395;cg21783355;cg11113753;cg00009421;cg19123339;cg00459909;cg00705576;cg26706238;cg18281102;cg07681696;cg08453096;cg22207732"
"chr2_DMR_37","cg24371033;cg16967583;cg11385353;cg00326183;cg18315762;cg16358738;cg18657700"
"chr2_DMR_38","cg21186775;cg21457692;cg11221657;cg09288658;cg18324076;cg21641817;cg25310182;cg08719777;cg09210666;cg09054412;cg25431547;cg03608974;cg19579160"
"chr2_DMR_39","cg05732530;cg04882937;cg06727510;cg23612030;cg13725590;cg04053045;cg13389146;cg04118190;cg18145558;cg24297695;cg02431562"
"chr2_DMR_40","cg12962355;cg00831247;cg22238923;cg20706438;cg11067786;cg08940570;cg26117023;cg19148731;cg02048416;cg23674882;cg22989958;cg15989091"
"chr2_DMR_41","cg20256403;cg18483322;cg02717339;cg24618910;cg20091689;cg15133824;cg23286353;cg16706496;cg25605045;cg26366663;cg03173367;cg10277175;cg26912078;cg01666654"
"chr2_DMR_42","cg07452306;cg23396786;cg06191390;cg07842862"
"chr2_DMR_43","cg15650509;cg12463851;cg16844875;cg07007118;cg18694780;cg12088387"
"chr2_DMR_44","cg25415989;cg27218978;cg21232161"
"chr2_DMR_45","cg19254047;cg06597049;cg14924697;cg09352202;cg15353597;cg23417875;cg13446288;cg15738916;cg02008025;cg06095752;cg08875535;cg27093989"
"chr2_DMR_46","cg05045343;cg27380499;cg01506492;cg04180428;cg02915785;cg16829809"
"chr2_DMR_47","cg26047334;cg15476790;cg20751706"
"chr2_DMR_48","cg15100426;cg04041474;cg22712983;cg26786924"
"chr2_DMR_49","cg05624376;cg01462353"
"chr2_DMR_50","cg12565788;cg11564239"
"chr2_DMR_51","cg25121292;cg08621447;cg10089801;cg09287629"
"chr2_DMR_52","cg02577773;cg21777553"
"chr2_DMR_53","cg03610527;cg11221200;cg07030287"
"chr2_DMR_54","cg04004830;cg06352750;cg17809945;cg08390172;cg14446712;cg10082589;cg18843739;cg07488576"
"chr2_DMR_55","cg24678095;cg05569109;cg24217704;cg02345886;cg25799994;cg22280705;cg00999988"
"chr2_DMR_56","cg02931058;cg02144874;cg01623771;cg23906687;cg12857875;cg15367150;cg14597586;cg00226984;cg17079034"
"chr2_DMR_57","cg08813379;cg00366814;cg06919414;cg14453704;cg18638581;cg23157190;cg24107142;cg09769647;cg19000349;cg05595692"
"chr2_DMR_58","cg20307347;cg14649507;cg18665334"
"chr2_DMR_59","cg13231954;cg18091469;cg01048749;cg00085123;cg09061684"
"chr2_DMR_60","cg15313226;cg06532037;cg02941781;cg08350814;cg19906093;cg11448068;cg11097717;cg10168635;cg22003435;cg14210694"
"chr2_DMR_61","cg13437337;cg07921384;cg12213062;cg15634877;cg18984724;cg20174636;cg23065715;cg07820064;cg17285709;cg24685587;cg10583876"
"chr2_DMR_62","cg01295339;cg03270710;cg07515251;cg09011732;cg08355260;cg00573355;cg11985480;cg08193322;cg02845591;cg25503044;cg08973382;cg17105139;cg22237735;cg13921570;cg05490924;cg05745223;cg06768010;cg08490768;cg10738368"
"chr2_DMR_63","cg03339817;cg10927555;cg20154206;cg11206634;cg08726863;cg01900048;cg24925163;cg14285788"
"chr2_DMR_64","cg15862215;cg15561583;cg01897594;cg19269412;cg15402210;cg10859133;cg27344587;cg00445126;cg25622366;cg03905905;cg18126442;cg13471114;cg17519650;cg08949862;cg27364741;cg07776900;cg01940425;cg15732840;cg10640333;cg22944632;cg06192497;cg10020373;cg00463767;cg10658666;cg22732253;cg17583946;cg00374224;cg10271192;cg20585676;cg17162260;cg27581028;cg06528559;cg18966265;cg25037384;cg08210688;cg02606403;cg22197050;cg11935853;cg02606423;cg26544594;cg14174204;cg27556193;cg01313497;cg25518132;cg26736450;cg04276301;cg00431699;cg13289869;cg23116322;cg15853117;cg13433250;cg00445405;cg22441310;cg03957108;cg26260350;cg03655683;cg04808506"
"chr2_DMR_65","cg15111360;cg09302922;cg07095908"
"chr2_DMR_66","cg12424785;cg26983710;cg18118685;cg12079322;cg07547000;cg13101087;cg17130964;cg26660002;cg14630357;cg12398124;cg02593932;cg25703346;cg01011748;cg21998983"
"chr2_DMR_67","cg10240150;cg13651908;cg07930752"
"chr2_DMR_68","cg14020052;cg06478504;cg17939889"
"chr2_DMR_69","cg24992690;cg19903071;cg20692810;cg14987534;cg00706282;cg21319458;cg03459008"
"chr2_DMR_70","cg17329648;cg17639959"
"chr2_DMR_71","cg26097549;cg04525212;cg17930183;cg10881306;cg11324999;cg00785193;cg00850538"
"chr2_DMR_72","cg13135455;cg14055004"
"chr2_DMR_73","cg01173650;cg20316538;cg22940954"
"chr2_DMR_74","cg00585790;cg24936095;cg01942372"
"chr2_DMR_75","cg16178603;cg26537478;cg09462924;cg05877497;cg23398076;cg11433622;cg00995986;cg15978039;cg23497016;cg04288999;cg17454831;cg23972738;cg05496203;cg06796713;cg03589296;cg17107572;cg17945976"
"chr2_DMR_76","cg16838838;cg21654383;cg02242344;cg16437908;cg09337254;cg21647532;cg03718845"
"chr2_DMR_77","cg10103850;cg22409100"
"chr2_DMR_78","cg02861056;cg13060970;cg10812236;cg13468685;cg20357807;cg04872689"
"chr2_DMR_79","cg08813888;cg25785397;cg21644387;cg09478095;cg06534853"
